Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Caledonia Gladiators,Malcolm Delpeche,15,Malcolm Delpeche,10,13.8,137.8,46.0,4.6,19.0,49.0,38.8,0.0,1.0,0,8.0,22.0,36.4,17.0,18.0,35.0,11.0,0.0,1.0,6.0,14.0,45.8,17.3,2.6,0.6,2.0,67,113.0,11.3,6.4,0,0,0,0,0,0.0,0,-8.62,-7.28,-1.34,4.2,4.3,39.0,18.0,46.2,9.0,1.0,11.1,1.0,0.0,0,7.0,0.0,3.0,3.0,0.0,0.0,13.0,2.0,12.0
Caledonia Gladiators,Dwaine Jones Jr,5,Dwaine Jones Jr,9,21.3,191.5,49.0,5.4,21.0,68.0,30.9,2.0,14.0,14.3,5.0,8.0,62.5,6.0,12.0,18.0,28.0,8.0,1.0,27.0,20.0,88.8,24.2,2.8,1.6,1.0,55,104.0,11.6,5.9,4,4.0,4,0,50.0,4.0,1,-12.7,-11.85,-0.85,2.0,3.9,47.0,17.0,36.2,7.0,2.0,28.6,14.0,2.0,14.3,10.0,0.0,18.0,3.0,0.0,6.0,8.0,14.0,14.0
Newcastle Eagles,Malcolm Smith,45,Malcolm Smith,9,10.6,95.3,31.0,3.4,9.0,36.0,25,0.0,1.0,0,13.0,18.0,72.2,8.0,6.0,14.0,5.0,1.0,1.0,7.0,13.0,41.2,21.4,1.4,0.2,0.6,10,41.0,4.6,1.9,0,0.0,1,0,0.0,1.0,1,-12.83,-11.7,-1.12,3.5,4.8,9.0,3.0,33.3,26.0,6.0,23.1,1.0,0.0,0,1.0,0.0,1.0,3.0,0.0,3.0,4.0,11.0,6.0
Bristol Flyers,Evan Walshe,77,Evan Walshe,8,14.4,115.1,33.0,4.1,13.0,24.0,54.2,1.0,5.0,20,6.0,9.0,66.7,2.0,17.0,19.0,11.0,6.0,0.0,12.0,18.0,36.4,16.8,1.7,0.6,1.0,21,54.0,6.8,2.7,14,4.7,6,4,90.2,9.8,3,-4.28,-10.05,5.77,2.8,3.4,15.0,11.0,73.3,4.0,1.0,25,5.0,1.0,20,7.0,0.0,9.0,2.0,0.0,1.0,4.0,15.0,4.0
Manchester Basketball,Oluwademilade Babalola,10/3,Oluwademilade Babalola,8,1.1,8.4,5.0,0.6,1.0,2.0,50,1.0,2.0,50,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.8,16.7,0.3,0.0,0.1,127,132.0,16.5,6.7,0,0,0,0,0,0.0,0,3.28,-0.5,3.78,3.1,3.7,0.0,0.0,0,0.0,0.0,0,2.0,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
London Lions,Chaundee Brown Jr,15,Chaundee Brown Jr,7,25.3,177.1,105.0,15.0,38.0,62.0,61.3,8.0,18.0,44.4,21.0,24.0,87.5,6.0,24.0,30.0,7.0,5.0,0.0,3.0,10.0,66.8,20.8,5.8,0.4,1.7,14,119.0,17.0,6.6,6,3.0,3,0,100.0,3.0,2,9.05,2.81,6.25,3.2,2.3,29.0,22.0,75.9,15.0,8.0,53.3,18.0,8.0,44.4,8.0,2.0,1.0,1.0,0.0,1.0,13.0,31.0,24.0
Newcastle Eagles,Marco Anthony,25,Marco Anthony,7,33.6,235.0,85.0,12.1,34.0,69.0,49.3,1.0,5.0,20,16.0,27.0,59.3,16.0,37.0,53.0,8.0,10.0,6.0,8.0,10.0,70.0,14.8,3.9,0.4,2.4,12,97.0,13.9,4.4,10,2.5,10,6,39.6,14.6,4,-0.82,-3.92,3.1,4.2,4.2,18.0,12.0,66.7,46.0,21.0,45.7,5.0,1.0,20,8.0,0.0,3.0,4.0,0.0,1.0,23.0,8.0,21.0
Leicester Riders,Emmanuel Akot,9,Emmanuel Akot,7,29.3,204.9,58.0,8.3,23.0,61.0,37.7,7.0,20.0,35,5.0,6.0,83.3,9.0,21.0,30.0,17.0,4.0,0.0,9.0,13.0,61.1,15.6,3.8,1.1,1.9,42,100.0,14.3,6.5,6,1.2,7,0,42.9,7.0,5,-4.67,-5.64,0.98,2.9,4.3,23.0,12.0,52.2,18.0,4.0,22.2,20.0,7.0,35,7.0,1.0,8.0,1.0,0.0,0.0,9.0,13.0,9.0
Surrey 89ers,Kareem Queeley,11,Kareem Queeley,7,21.9,153.3,54.0,7.7,19.0,46.0,41.3,4.0,21.0,19,12.0,20.0,60,7.0,17.0,24.0,20.0,5.0,0.0,11.0,7.0,56.4,19.0,2.9,1.1,1.3,48,102.0,14.6,5.5,5,2.5,2,4,66.5,3.8,2,-2.43,-4.41,1.98,2.6,3.6,16.0,13.0,81.2,9.0,2.0,22.2,21.0,4.0,19,10.0,1.0,6.0,5.0,0.0,0.0,5.0,20.0,8.0
London Lions,Ryan Mikesell,11,Ryan Mikesell,7,20.8,145.6,53.0,7.6,18.0,47.0,38.3,8.0,25.0,32,9.0,10.0,90,4.0,12.0,16.0,12.0,2.0,0.0,7.0,20.0,52.2,19.8,2.9,0.7,0.9,30,83.0,11.9,4.6,0,0,0,0,0,0.0,0,-1.62,-5.55,3.93,2.8,3.9,13.0,6.0,46.2,9.0,4.0,44.4,25.0,8.0,32,4.0,0.0,3.0,2.0,0.0,2.0,11.0,8.0,6.0
Caledonia Gladiators,Daylen Williams,15,Daylen Williams,7,20.1,140.9,32.0,4.6,11.0,27.0,40.7,0.0,4.0,0,10.0,17.0,58.8,4.0,28.0,32.0,17.0,4.0,1.0,14.0,16.0,42.7,15.8,1.8,1.0,1.8,67,99.0,14.1,5.6,3,1.5,2,2,52.1,3.9,2,-7.18,-9.75,2.58,3.4,3.6,8.0,6.0,75,15.0,5.0,33.3,4.0,0.0,0,2.0,0.0,4.0,8.0,0.0,2.0,6.0,16.0,8.0
Manchester Basketball,Gabriel Osabuohien,3,Gabriel Osabuohien,7,13.3,93.4,15.0,2.1,7.0,17.0,41.2,0.0,0.0,0,1.0,8.0,12.5,10.0,12.0,22.0,19.0,7.0,5.0,15.0,26.0,24.5,13.3,0.8,1.0,1.1,127,142.0,20.3,7.2,0,0,0,0,0,0.0,0,-3.88,-11.0,7.12,3.3,3.4,13.0,6.0,46.2,4.0,1.0,25,0.0,0.0,0,3.0,0.0,8.0,4.0,0.0,3.0,2.0,0.0,2.0
London Lions,Ovie Soko,0,Ovie Soko,6,11.7,70.0,31.0,5.2,11.0,16.0,68.8,0.0,0.0,0,9.0,10.0,90,2.0,13.0,15.0,3.0,5.0,0.0,10.0,11.0,27.3,21.5,1.7,0.2,0.8,8,39.0,6.5,2.2,0,0,0,0,0,0.0,0,1.03,-7.21,8.25,3.1,3.1,12.0,10.0,83.3,4.0,1.0,25,0.0,0.0,0,1.0,0.0,3.0,4.0,0.0,3.0,8.0,4.0,8.0
London Lions,Nigel Hawkins,8,Nigel Hawkins,6,15.3,91.7,15.0,2.5,4.0,21.0,19,1.0,7.0,14.3,6.0,8.0,75,6.0,9.0,15.0,5.0,2.0,2.0,4.0,13.0,21.6,13.0,0.8,0.3,0.8,10,25.0,4.2,1.4,0,0,0,0,0,0.0,0,-5.73,-9.73,4.01,3.6,4.8,6.0,1.0,16.7,8.0,2.0,25,7.0,1.0,14.3,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0
Surrey 89ers,Timothy Nwankwo,19,Timothy Nwankwo,5,10.6,53.2,17.0,3.4,8.0,14.0,57.1,0.0,0.0,0,1.0,1.0,100,3.0,6.0,9.0,4.0,2.0,0.0,4.0,6.0,14.8,14.4,0.9,0.2,0.5,14,31.0,6.2,1.7,0,0,0,0,0,0.0,0,-3.59,-6.45,2.86,3.0,3.8,7.0,4.0,57.1,7.0,4.0,57.1,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,2.0
Newcastle Eagles,Josh Ward-Hibbert,2,Josh Ward-Hibbert,5,9.2,45.8,12.0,2.4,4.0,11.0,36.4,2.0,5.0,40,2.0,2.0,100,0.0,6.0,6.0,5.0,3.0,4.0,3.0,3.0,14.3,15.4,0.5,0.2,0.3,8,20.0,4.0,0.9,5,5.0,3,0,83.3,3.0,1,3.22,-4.27,7.49,3.4,3.8,6.0,2.0,33.3,0.0,0.0,0,5.0,2.0,40,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,6.0
Newcastle Eagles,Brett Reed,24,Brett Reed,4,20.6,82.5,29.0,7.2,11.0,18.0,61.1,0.0,0.0,0,7.0,15.0,46.7,5.0,15.0,20.0,8.0,5.0,2.0,9.0,9.0,27.5,16.5,1.3,0.4,0.9,16,45.0,11.2,2.0,2,2.0,1,2,53.2,1.9,1,-0.83,-6.17,5.34,3.6,3.3,12.0,8.0,66.7,6.0,3.0,50,0.0,0.0,0,3.0,0.0,6.0,2.0,0.0,1.0,5.0,14.0,3.0
Leicester Riders,Duke Shelton,2,Duke Shelton,4,14.6,58.3,25.0,6.2,9.0,20.0,45,0.0,1.0,0,7.0,11.0,63.6,5.0,11.0,16.0,1.0,0.0,2.0,7.0,9.0,25.8,23.1,1.6,0.1,1.0,54,79.0,19.8,5.1,0,0,0,0,0,0.0,0,-10.76,-10.71,-0.05,4.7,4.3,13.0,7.0,53.8,6.0,2.0,33.3,1.0,0.0,0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,6.0,8.0
Bristol Flyers,Cameron Christon,1,Cameron Christon,4,16.5,65.9,21.0,5.2,6.0,15.0,40,3.0,4.0,75,6.0,6.0,100,3.0,4.0,7.0,0.0,1.0,1.0,4.0,7.0,17.9,14.4,1.1,0.0,0.4,0,21.0,5.2,1.1,3,3.0,3,1,43.6,3.4,1,-4.99,-7.46,2.47,3.3,4.2,7.0,2.0,28.6,4.0,1.0,25,4.0,3.0,75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,4.0
Leicester Riders,Michael Mitchell Jr,1,Michael Mitchell Jr,4,15.5,62.0,14.0,3.5,5.0,18.0,27.8,3.0,11.0,27.3,1.0,3.0,33.3,0.0,3.0,3.0,8.0,3.0,1.0,6.0,6.0,24.3,20.5,0.9,0.5,0.2,16,30.0,7.5,1.9,0,0,0,0,0,0.0,0,-7.57,-9.06,1.49,2.2,4.1,5.0,2.0,40,2.0,0.0,0,11.0,3.0,27.3,1.0,1.0,4.0,1.0,0.0,1.0,3.0,3.0,5.0
Caledonia Gladiators,Nino Satha,4,Nino Satha,4,2.1,8.5,5.0,1.2,2.0,3.0,66.7,1.0,2.0,50,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.8,29.5,0.3,0.0,0.0,0,5.0,1.2,0.3,0,0,0,0,0,0.0,0,-9.39,-7.47,-1.92,2.9,3.6,1.0,1.0,100,0.0,0.0,0,2.0,1.0,50,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0
Leicester Riders,Michael Akintomide Akinsiku,0/5,Michael Akintomide Akinsiku,4,0.7,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-4.54,-7.13,2.59,3.1,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester Basketball,Cody John,5,Cody John,3,18.2,54.7,17.0,5.7,8.0,21.0,38.1,0.0,7.0,0,1.0,1.0,100,0.0,5.0,5.0,3.0,2.0,0.0,4.0,7.0,24.4,22.6,0.9,0.2,0.3,6,23.0,7.7,1.2,0,0.0,1,0,0.0,1.0,1,-10.65,-11.93,1.28,2.7,4.6,3.0,1.0,33.3,11.0,7.0,63.6,7.0,0.0,0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,6.0
Caledonia Gladiators,Andrew Michael Gordon,33/38,Andrew Michael Gordon,3,12.9,38.8,12.0,4.0,6.0,11.0,54.5,0.0,2.0,0,0.0,3.0,0,2.0,7.0,9.0,2.0,1.0,3.0,6.0,11.0,15.7,21.1,0.7,0.1,0.5,4,16.0,5.3,0.9,0,0.0,0,2,0.0,0.9,1,-12.2,-15.8,3.61,4.7,4.0,6.0,5.0,83.3,3.0,1.0,33.3,2.0,0.0,0,3.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0
B. Braun Sheffield Sharks,Fahro Alihodzic,25,Fahro Alihodzic,2,15.0,30.0,15.0,7.5,6.0,8.0,75,0.0,0.0,0,3.0,6.0,50,1.0,4.0,5.0,3.0,6.0,0.0,2.0,7.0,11.2,19.3,0.8,0.2,0.3,6,21.0,10.5,1.1,0,0,0,0,0,0.0,0,10.55,-3.83,14.38,2.0,3.1,6.0,4.0,66.7,2.0,2.0,100,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0
Newcastle Eagles,Terrell Burden,1,Terrell Burden,1,19.4,19.4,3.0,3.0,1.0,4.0,25,0.0,2.0,0,1.0,2.0,50,0.0,2.0,2.0,5.0,3.0,0.0,3.0,5.0,7.6,19.3,0.1,0.2,0.1,116,119.0,119.0,5.4,0,0,0,0,0,0.0,0,-4.26,-12.9,8.64,2.0,3.4,1.0,1.0,100,1.0,0.0,0,2.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0
London Lions,Jordan Kevin Williams,4,Jordan Kevin Williams,1,2.7,2.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-10.73,-15.28,4.55,3.0,4.1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
